StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q372,Q1,Q166,Q2,Q375,Q89,Q3,Q6,Q7,Q10,Q88,Q191,Q192,Q190,Q1_1,Q1_1c,Q1_2,Q1_2c,Q1_2s,Q1_2r,Q1_2p,Q2_1,Q2_1c,Q2_2,Q2_2c,Q2_2s,Q2_2r,Q2_2p,Q690,Q691,Q692,Q693,Q694,Q695,Q696,Q697,Q698,Q699,Q700,Q701,Q702,Q703,Q711,Q712,Q713,Q714,Q715,Q716,Q717,Q718,Q719,Q720,Q721,Q722,Q723,Q724,Q725,Q726,Q727,Q728,Q729,Q730,Q731,Q739,Q740,Q741,Q742,Q743,Q744,Q745,Q753,Q754,Q755,Q756,Q757,Q758,Q759,Q760,Q761,Q762,Q763,Q764,Q765,Q766,Q774,Q775,Q776,Q777,Q778,Q779,Q780,Q781,Q782,Q783,Q784,Q785,Q786,Q787,Q788,Q789,Q790,Q791,Q792,Q793,Q794,Q795,Q796,Q797,Q798,Q799,Q800,Q801,Q809,Q810,Q811,Q812,Q813,Q814,Q815,Q816,Q817,Q818,Q819,Q820,Q821,Q822,Q823,Q824,Q825,Q826,Q827,Q828,Q829,Q830,Q831,Q832,Q833,Q834,Q835,Q836,Q200,Q370,Q376,Q373
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I agree to participate,I am,Please indicate your profession,Please select your medical profession (most specialized certification).,"Please write in your medical specialty (e.g., pediatrician, endocrinologist, psychiatrist).",Please write in your medical profession.,For how long (since you became board eligible) have you been practicing?,How would you describe your institution?,Please describe your institution.,What year are you in your genetics training program?,What year are you in your medical school program?,"How often do you use AI tools (e.g., Face2Gene) in the diagnosis of patients?","In your opinion, how accurate are AI tools in the diagnosis of patients with genetic conditions?",How much weight do you place upon facial features in the diagnosis of a genetic condition?,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,"How helpful were the AI tools for this image? Answers can range from -2 (not helpful) to +2 (very helpful).

Saliency map",Region relevance,Prediction probability,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,"How helpful were the AI tools for this image? Answers can range from -2 (not helpful) to +2 (very helpful).

Saliency map",Region relevance,Prediction probability,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,"How helpful were the AI tools for this image? Answers can range from -2 (not helpful) to +2 (very helpful).

Saliency map",Region relevance,Prediction probability,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,"How helpful were the AI tools for this image? Answers can range from -2 (not helpful) to +2 (very helpful).

Saliency map",Region relevance,Prediction probability,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,"How helpful were the AI tools for this image? Answers can range from -2 (not helpful) to +2 (very helpful).

Saliency map",Region relevance,Prediction probability,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,"How helpful were the AI tools for this image? Answers can range from -2 (not helpful) to +2 (very helpful).

Saliency map",Region relevance,Prediction probability,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,"How helpful were the AI tools for this image? Answers can range from -2 (not helpful) to +2 (very helpful).

Saliency map",Region relevance,Prediction probability,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,"How helpful were the AI tools for this image? Answers can range from -2 (not helpful) to +2 (very helpful).

Saliency map",Region relevance,Prediction probability,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,"How helpful were the AI tools for this image? Answers can range from -2 (not helpful) to +2 (very helpful).

Saliency map",Region relevance,Prediction probability,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,"How helpful were the AI tools for this image? Answers can range from -2 (not helpful) to +2 (very helpful).

Saliency map",Region relevance,Prediction probability,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,"How helpful were the AI tools for this image? Answers can range from -2 (not helpful) to +2 (very helpful).

Saliency map",Region relevance,Prediction probability,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,"How helpful were the AI tools for this image? Answers can range from -2 (not helpful) to +2 (very helpful).

Saliency map",Region relevance,Prediction probability,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,"How helpful were the AI tools for this image? Answers can range from -2 (not helpful) to +2 (very helpful).

Saliency map",Region relevance,Prediction probability,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,"How helpful were the AI tools for this image? Answers can range from -2 (not helpful) to +2 (very helpful).

Saliency map",Region relevance,Prediction probability,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,"How helpful were the AI tools for this image? Answers can range from -2 (not helpful) to +2 (very helpful).

Saliency map",Region relevance,Prediction probability,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,"How helpful were the AI tools for this image? Answers can range from -2 (not helpful) to +2 (very helpful).

Saliency map",Region relevance,Prediction probability,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,"How helpful were the AI tools for this image? Answers can range from -2 (not helpful) to +2 (very helpful).

Saliency map",Region relevance,Prediction probability,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,Select the genetic condition or unaffected.,Rate your confidence in the answer above. Answers can range from -2 (not confident) to +2 (highly confident).,"How helpful were the AI tools for this image? Answers can range from -2 (not helpful) to +2 (very helpful).

Saliency map",Region relevance,Prediction probability,"Please give us some feedback on the saliency maps and the region relevance scores. For your feedback you might address the following questions, but please feel free to provide any comments that come to your mind: To what extent did you consider the AI prediction when deciding whether to stay or not with your original decision? To what extent did the saliency maps and the region relevance scores influence your decision? Do you have any suggestions to us on how to improve the visual explanations? Please enter your response in the text box below.",Do you have a few more minutes to look at average saliency maps to give us your thoughts?,"Above are average saliency maps for each condition.  The average saliency map is an average of hundreds of images with the same condition. The pixels the AI tool finds to be most important in classifying a genetic condition are in yellow. The brighter the area on the face, the more important the pixel is in the AI tool classification. Please take a moment to look through the images. 

Which, if any, of the above average saliency maps BEST highlight the important features for that condition? Select as many or few as you like.",What important diagnostic facial features do you see that are highlighted by the AI tool for each of the syndromes selected? Please enter your response in the box below.
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID839""}","{""ImportId"":""QID19379115""}","{""ImportId"":""QID633_TEXT""}","{""ImportId"":""QID19379116""}","{""ImportId"":""QID842_TEXT""}","{""ImportId"":""QID556_TEXT""}","{""ImportId"":""QID19379117""}","{""ImportId"":""QID19379120""}","{""ImportId"":""QID19379121_TEXT""}","{""ImportId"":""QID19379124""}","{""ImportId"":""QID555""}","{""ImportId"":""QID658""}","{""ImportId"":""QID659""}","{""ImportId"":""QID657""}","{""ImportId"":""QID664""}","{""ImportId"":""QID573""}","{""ImportId"":""QID666""}","{""ImportId"":""QID667""}","{""ImportId"":""QID631""}","{""ImportId"":""QID566""}","{""ImportId"":""QID663""}","{""ImportId"":""QID668""}","{""ImportId"":""QID669""}","{""ImportId"":""QID670""}","{""ImportId"":""QID671""}","{""ImportId"":""QID672""}","{""ImportId"":""QID673""}","{""ImportId"":""QID674""}","{""ImportId"":""QID690""}","{""ImportId"":""QID691""}","{""ImportId"":""QID692""}","{""ImportId"":""QID693""}","{""ImportId"":""QID694""}","{""ImportId"":""QID695""}","{""ImportId"":""QID696""}","{""ImportId"":""QID697""}","{""ImportId"":""QID698""}","{""ImportId"":""QID699""}","{""ImportId"":""QID700""}","{""ImportId"":""QID701""}","{""ImportId"":""QID702""}","{""ImportId"":""QID703""}","{""ImportId"":""QID711""}","{""ImportId"":""QID712""}","{""ImportId"":""QID713""}","{""ImportId"":""QID714""}","{""ImportId"":""QID715""}","{""ImportId"":""QID716""}","{""ImportId"":""QID717""}","{""ImportId"":""QID718""}","{""ImportId"":""QID719""}","{""ImportId"":""QID720""}","{""ImportId"":""QID721""}","{""ImportId"":""QID722""}","{""ImportId"":""QID723""}","{""ImportId"":""QID724""}","{""ImportId"":""QID725""}","{""ImportId"":""QID726""}","{""ImportId"":""QID727""}","{""ImportId"":""QID728""}","{""ImportId"":""QID729""}","{""ImportId"":""QID730""}","{""ImportId"":""QID731""}","{""ImportId"":""QID739""}","{""ImportId"":""QID740""}","{""ImportId"":""QID741""}","{""ImportId"":""QID742""}","{""ImportId"":""QID743""}","{""ImportId"":""QID744""}","{""ImportId"":""QID745""}","{""ImportId"":""QID753""}","{""ImportId"":""QID754""}","{""ImportId"":""QID755""}","{""ImportId"":""QID756""}","{""ImportId"":""QID757""}","{""ImportId"":""QID758""}","{""ImportId"":""QID759""}","{""ImportId"":""QID760""}","{""ImportId"":""QID761""}","{""ImportId"":""QID762""}","{""ImportId"":""QID763""}","{""ImportId"":""QID764""}","{""ImportId"":""QID765""}","{""ImportId"":""QID766""}","{""ImportId"":""QID774""}","{""ImportId"":""QID775""}","{""ImportId"":""QID776""}","{""ImportId"":""QID777""}","{""ImportId"":""QID778""}","{""ImportId"":""QID779""}","{""ImportId"":""QID780""}","{""ImportId"":""QID781""}","{""ImportId"":""QID782""}","{""ImportId"":""QID783""}","{""ImportId"":""QID784""}","{""ImportId"":""QID785""}","{""ImportId"":""QID786""}","{""ImportId"":""QID787""}","{""ImportId"":""QID788""}","{""ImportId"":""QID789""}","{""ImportId"":""QID790""}","{""ImportId"":""QID791""}","{""ImportId"":""QID792""}","{""ImportId"":""QID793""}","{""ImportId"":""QID794""}","{""ImportId"":""QID795""}","{""ImportId"":""QID796""}","{""ImportId"":""QID797""}","{""ImportId"":""QID798""}","{""ImportId"":""QID799""}","{""ImportId"":""QID800""}","{""ImportId"":""QID801""}","{""ImportId"":""QID809""}","{""ImportId"":""QID810""}","{""ImportId"":""QID811""}","{""ImportId"":""QID812""}","{""ImportId"":""QID813""}","{""ImportId"":""QID814""}","{""ImportId"":""QID815""}","{""ImportId"":""QID816""}","{""ImportId"":""QID817""}","{""ImportId"":""QID818""}","{""ImportId"":""QID819""}","{""ImportId"":""QID820""}","{""ImportId"":""QID821""}","{""ImportId"":""QID822""}","{""ImportId"":""QID823""}","{""ImportId"":""QID824""}","{""ImportId"":""QID825""}","{""ImportId"":""QID826""}","{""ImportId"":""QID827""}","{""ImportId"":""QID828""}","{""ImportId"":""QID829""}","{""ImportId"":""QID830""}","{""ImportId"":""QID831""}","{""ImportId"":""QID832""}","{""ImportId"":""QID833""}","{""ImportId"":""QID834""}","{""ImportId"":""QID835""}","{""ImportId"":""QID836""}","{""ImportId"":""QID844_TEXT""}","{""ImportId"":""QID837""}","{""ImportId"":""QID843""}","{""ImportId"":""QID840_TEXT""}"
7/5/2024 14:06,7/5/2024 14:57,IP Address,70.183.84.34,100,3083,TRUE,7/5/2024 14:57,R_GKxvJBdQPZkFSS6,,,,,32.7994,-117.1686,anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,> 10 years,Academic medical or research center,,,,Never,Unsure,Intermediate factor in diagnosis,Kabuki syndrome,2,Kabuki syndrome,2,-2,-2,-2,Angelman syndrome,2,Angelman syndrome,2,-2,-2,-2,Noonan syndrome,2,Noonan syndrome,2,-2,-2,-2,Unaffected,2,Unaffected,2,-2,-2,-2,Angelman syndrome,1,Angelman syndrome,2,-2,-2,-2,Kabuki syndrome,2,Kabuki syndrome,2,-2,-2,-2,22q11.2 deletion syndrome,1,22q11.2 deletion syndrome,1,-2,-2,-2,Noonan syndrome,0,Noonan syndrome,1,-2,-2,-2,Williams syndrome,0,Williams syndrome,1,-2,-2,1,22q11.2 deletion syndrome,2,22q11.2 deletion syndrome,2,-2,-2,-2,Williams syndrome,2,Noonan syndrome,2,-2,-2,-2,Unaffected,1,Unaffected,2,-2,-2,1,Unaffected,1,Unaffected,1,-2,-2,-2,Kabuki syndrome,2,Kabuki syndrome,2,-2,-2,-2,Angelman syndrome,2,Angelman syndrome,2,-2,-2,-2,Noonan syndrome,2,Noonan syndrome,2,-2,-2,-2,Williams syndrome,2,Angelman syndrome,1,-2,-2,1,Angelman syndrome,1,Angelman syndrome,1,-2,-2,-2,I did not find the saliency maps or rgional scores helpful. The gestalt is what is important. I don't know how the AI does with ethnicity,Yes,None,This is a weather map
7/7/2024 12:31,7/7/2024 13:16,IP Address,166.198.157.6,100,2655,TRUE,7/7/2024 13:16,R_Gm8fDfOiDph2SF7,,,,,33.8508,-84.2863,anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,5 to 10 years,Academic medical or research center,,,,Routinely,Inaccurate,Minor factor in diagnosis,Kabuki syndrome,1,Kabuki syndrome,2,2,0,2,22q11.2 deletion syndrome,0,22q11.2 deletion syndrome,0,-1,-1,0,Noonan syndrome,1,Noonan syndrome,2,1,0,2,Unaffected,-2,Unaffected,0,1,-2,1,Unaffected,-1,Unaffected,-1,0,0,0,Kabuki syndrome,1,Kabuki syndrome,2,1,0,1,Williams syndrome,-1,Williams syndrome,1,1,-1,1,Noonan syndrome,-2,Unaffected,-2,0,-2,-1,Noonan syndrome,0,Noonan syndrome,-2,0,-2,0,22q11.2 deletion syndrome,-1,22q11.2 deletion syndrome,1,1,-1,1,Williams syndrome,1,Williams syndrome,2,1,0,1,Unaffected,-1,Unaffected,1,-2,-2,1,Unaffected,-2,Unaffected,0,0,0,0,Kabuki syndrome,1,Kabuki syndrome,1,-1,-1,-2,22q11.2 deletion syndrome,-2,Angelman syndrome,0,0,0,0,Noonan syndrome,1,Noonan syndrome,1,0,-2,0,Williams syndrome,1,Williams syndrome,1,0,-2,-1,Unaffected,1,Unaffected,-1,-2,-2,-1,When my decision was congruent with the AI tool it increased my confidence but when not it decreased my confidence on a diagnosis. The feature of the siliency and prediction were good but not the tool that weighted the facial regions. I found that angelman syndrome was the hardest for me to diagnose and I was not very sure of the AI tools confidence. I hope I can get the answers and learn from this.  ,Yes,"22q11DS,Kabuki syndrome,Noonan syndrome",
7/7/2024 13:44,7/7/2024 14:11,IP Address,67.66.140.13,100,1625,TRUE,7/7/2024 14:11,R_GPKx45OEk8gYHw5,,,,,38.6185,-90.3449,anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,> 10 years,Academic medical or research center,,,,Have tried once or twice,Inaccurate,Major factor in diagnosis,Kabuki syndrome,2,Kabuki syndrome,2,-2,-1,0,Angelman syndrome,1,Angelman syndrome,2,-2,-1,1,Noonan syndrome,2,Noonan syndrome,2,-2,-2,0,Unaffected,1,Unaffected,1,-1,-2,0,Unaffected,2,Unaffected,1,-2,-1,-2,Kabuki syndrome,2,Kabuki syndrome,2,-2,-2,0,Noonan syndrome,1,Williams syndrome,1,-2,-2,1,Williams syndrome,1,Williams syndrome,0,-2,-2,1,Kabuki syndrome,1,Williams syndrome,1,-2,-1,1,22q11.2 deletion syndrome,2,22q11.2 deletion syndrome,2,-1,-1,1,Williams syndrome,2,Williams syndrome,2,-2,-2,1,Unaffected,1,Unaffected,1,-2,-2,0,Williams syndrome,1,Williams syndrome,0,-2,-1,-1,22q11.2 deletion syndrome,2,22q11.2 deletion syndrome,2,-1,-2,0,Williams syndrome,0,Williams syndrome,0,-1,-1,0,Noonan syndrome,2,Noonan syndrome,2,-1,-2,0,Williams syndrome,2,Williams syndrome,2,-2,-2,-2,Kabuki syndrome,1,Kabuki syndrome,-2,-1,-1,0,"Did not consider AI prediction.  Some cases harder than others due to smiling child or at different angle.  I had little use of the saliency/region relevance scores in decision, unless they region scores are consistent enough to be listed at common criteria.",Yes,"22q11DS,Kabuki syndrome","Ala nasi for 22q, lateral eversion of eyelids for Kabuki.  Could pretend to see periorbital fullness on Williams but not really.  Nothing useful on Angelman, Noonan or unaffected"
7/1/2024 5:34,7/1/2024 5:34,IP Address,100.36.103.51,3,27,FALSE,7/8/2024 5:34,R_GndDjnL5IC5Az8P,,,,,,,anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/2024 11:43,7/10/2024 12:11,IP Address,128.36.7.16,100,1638,TRUE,7/10/2024 12:11,R_GZ3LZStirE5GQBb,,,,,41.3186,-72.9302,anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,< 1 year,Academic medical or research center,,,,Never,Unsure,Intermediate factor in diagnosis,Kabuki syndrome,2,Kabuki syndrome,2,1,1,1,Unaffected,1,Unaffected,-1,1,1,0,Noonan syndrome,2,Noonan syndrome,2,2,2,2,Unaffected,2,Unaffected,2,1,1,1,Williams syndrome,2,Williams syndrome,2,-1,-1,-1,22q11.2 deletion syndrome,1,Unaffected,0,-1,-1,-1,Noonan syndrome,2,Noonan syndrome,0,0,0,0,Williams syndrome,1,Williams syndrome,1,-1,-1,-1,Noonan syndrome,2,Noonan syndrome,1,-1,-1,-1,22q11.2 deletion syndrome,2,22q11.2 deletion syndrome,2,2,2,2,Williams syndrome,2,Williams syndrome,2,2,2,2,Unaffected,1,Unaffected,2,1,1,1,Unaffected,1,Unaffected,-1,0,0,0,Angelman syndrome,-2,22q11.2 deletion syndrome,-2,-2,-2,-2,Williams syndrome,1,Angelman syndrome,-1,-1,-1,-1,22q11.2 deletion syndrome,1,Noonan syndrome,-1,-1,-1,-1,Williams syndrome,2,Williams syndrome,1,-2,-2,-2,Unaffected,1,Unaffected,-1,-1,-1,-1,Using pictures is more challenging that examining a patient in the clinic. I feel some pictures mixed different features of the conditions which was confusing. I feel that AI is still developing. A prior study by Dr. Solomon showed that Geneticist perform better than AI for dysmorphology.,No,,
7/2/2024 22:50,7/3/2024 7:50,IP Address,98.229.220.157,100,32418,TRUE,7/3/2024 7:50,R_Gb31EGbfo0tfhDp,,,,,42.1033,-71.1772,anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,> 10 years,Academic medical or research center,,,,Sometimes,Inaccurate,Intermediate factor in diagnosis,Kabuki syndrome,2,Kabuki syndrome,2,-2,-2,2,Angelman syndrome,0,Angelman syndrome,2,-2,-2,2,Noonan syndrome,2,Noonan syndrome,2,-2,-2,2,Unaffected,1,Unaffected,2,-2,-2,2,Unaffected,1,Angelman syndrome,2,-2,-2,2,Kabuki syndrome,2,Kabuki syndrome,2,-2,-2,2,Williams syndrome,1,Williams syndrome,2,-2,-2,2,22q11.2 deletion syndrome,1,Kabuki syndrome,2,-2,-2,2,Noonan syndrome,2,Noonan syndrome,1,-2,-2,1,22q11.2 deletion syndrome,2,22q11.2 deletion syndrome,2,-2,-2,2,Williams syndrome,1,Williams syndrome,2,-2,-2,2,Unaffected,0,Unaffected,2,-2,-2,2,22q11.2 deletion syndrome,2,22q11.2 deletion syndrome,2,-2,-2,2,Kabuki syndrome,1,22q11.2 deletion syndrome,2,-2,-2,2,Williams syndrome,1,Angelman syndrome,1,-2,-2,2,Noonan syndrome,2,Noonan syndrome,2,-2,-2,2,Williams syndrome,1,Angelman syndrome,1,-2,-2,2,Unaffected,1,Unaffected,1,-2,-2,1,I did not find the map and region scores at all helpful. ,Yes,"Kabuki syndrome,Williams syndrome","eyebrows, nose, eyes"
7/8/2024 13:49,7/8/2024 14:11,IP Address,108.185.104.2,100,1336,TRUE,7/8/2024 14:11,R_GQhqyksHxIl30sk,,,,,34.106,-118.3607,anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,> 10 years,Academic medical or research center,,,,Have tried once or twice,Mostly accurate,Major factor in diagnosis,Kabuki syndrome,2,Kabuki syndrome,2,1,0,0,Angelman syndrome,2,Angelman syndrome,2,1,0,0,Noonan syndrome,2,Noonan syndrome,2,1,0,0,Unaffected,2,Unaffected,1,0,0,0,22q11.2 deletion syndrome,1,Angelman syndrome,0,0,0,0,Kabuki syndrome,2,Kabuki syndrome,2,1,0,0,Williams syndrome,1,Williams syndrome,1,0,0,0,Unaffected,1,Kabuki syndrome,0,0,0,0,Noonan syndrome,1,Williams syndrome,-1,0,0,0,22q11.2 deletion syndrome,2,22q11.2 deletion syndrome,1,0,0,0,Williams syndrome,2,Williams syndrome,1,0,0,1,22q11.2 deletion syndrome,1,Unaffected,-1,0,0,0,Unaffected,1,22q11.2 deletion syndrome,-1,0,0,0,Kabuki syndrome,1,22q11.2 deletion syndrome,1,0,0,0,Angelman syndrome,1,Angelman syndrome,1,0,0,0,Kabuki syndrome,1,Noonan syndrome,0,0,0,1,Angelman syndrome,2,Angelman syndrome,2,0,0,1,Kabuki syndrome,1,Kabuki syndrome,1,0,0,1,not sure how to use this tool,Yes,None,not sure
7/8/2024 15:03,7/8/2024 15:09,IP Address,198.161.4.81,53,385,FALSE,7/15/2024 15:09,R_G10Sd08DGckPQrJ,,,,,,,anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,> 10 years,Academic medical or research center,,,,Never,Mostly accurate,Intermediate factor in diagnosis,Kabuki syndrome,1,Kabuki syndrome,1,1,1,1,Angelman syndrome,0,Angelman syndrome,1,1,2,1,Noonan syndrome,2,Noonan syndrome,2,1,1,1,22q11.2 deletion syndrome,-1,Unaffected,1,1,0,2,Williams syndrome,2,Angelman syndrome,0,1,1,1,Kabuki syndrome,2,Kabuki syndrome,2,1,1,1,Unaffected,0,Williams syndrome,1,1,1,2,Noonan syndrome,-1,Kabuki syndrome,0,1,1,1,Noonan syndrome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
