Group,SlideName,ResponseId,GroundTruth,ModelPrediction,Q_pred_1,Q_confidence_1,Q_pred_2,Q_confidence_2,Q_saliency,Q_region,Q_pred,background_1,background_2,feedback_1,feedback_2,feedback_3,feedback_4,Q1_isTruePred,Q2_isTruePred,AI_isTruePred,prediction_improvement,confidence_improvement
baseline,KSSlide133,R_GLHdOFaW28scFGw,Kabuki syndrome,Kabuki syndrome,Kabuki syndrome,2,Kabuki syndrome,2,,,0,> 10 years,Academic medical or research center,AI overruled my clinical when there was a discrepancy.  This doens't reflect how we make diagnoses in clinic where we have much more information to take into account rather than just an image.,Yes,Williams syndrome,"nose, philtrum",1,1,1,0,0
baseline,KSSlide133,R_GgzHvyzuFd0XRnu,Kabuki syndrome,Kabuki syndrome,Kabuki syndrome,2,Kabuki syndrome,2,,,-2,> 10 years,Academic medical or research center,,Yes,22q11DS,,1,1,1,0,0
baseline,KSSlide133,R_GVCPR1JBozpX0rI,Kabuki syndrome,Kabuki syndrome,Kabuki syndrome,1,Kabuki syndrome,1,,,1,> 10 years,Academic medical or research center,"Main observation was that it was difficult to assess some cases with static and/or cropped images (missing ears, chins, etc.).",Yes,"Kabuki syndrome,Williams syndrome","eyes and eyebrows for Kabuki, eyes and nose for Williams",1,1,1,0,0
baseline,KSSlide133,R_Gh8wz5xlNFmH3Zn,Kabuki syndrome,Kabuki syndrome,Kabuki syndrome,1,Kabuki syndrome,2,,,0,> 10 years,Academic medical or research center,,,,,1,1,1,0,1
baseline,KSSlide133,R_GPFRlSdvyLFzrnW,Kabuki syndrome,Kabuki syndrome,Kabuki syndrome,2,Kabuki syndrome,2,,,0,1 to 5 years,Academic medical or research center,,,,,1,1,1,0,0
baseline,KSSlide133,R_GrVqpm88KnVU4Q3,Kabuki syndrome,Kabuki syndrome,Kabuki syndrome,2,Kabuki syndrome,2,,,0,> 10 years,Community based hospital,,No,,eyes nose,1,1,1,0,0
baseline,KSSlide133,R_G1HNqpbxvCSbWw3,Kabuki syndrome,Kabuki syndrome,Kabuki syndrome,2,Kabuki syndrome,2,,,1,5 to 10 years,Molecular diagnostic company,AI prediction was a strong support to my original prediction,Yes,"22q11DS,Kabuki syndrome,Williams syndrome","22q11DS: nasal bridge and tip, deeply set eyes; Angelman: none - the common wide mouth doesn't seem important for the AI tool; Kabuki: medial part of eyebrows denser than lateral aspect, impression of long palpebral fissures; Noonan: eye abnormalities (perhaps ptosis), widely spaced eyes; Williams: periorbital region, nasal bridge, perioral region.  ",1,1,1,0,0
baseline,KSSlide133,R_GSuWx8KD3Db0WuN,Kabuki syndrome,Kabuki syndrome,Noonan syndrome,1,Kabuki syndrome,0,,,1,> 10 years,Academic medical or research center,Considered the AI prediction to some extent when I felt sure it was a syndrome rather than unaffected. ,No,,,0,1,1,1,-1
baseline,KSSlide133,R_GeVZPQOmlFZUiPf,Kabuki syndrome,Kabuki syndrome,Kabuki syndrome,2,Kabuki syndrome,2,,,-2,> 10 years,Academic medical or research center,The AI results mostly influenced me by decreasing or increasing my confidence in the a diagnosis. ,No,,,1,1,1,0,0
baseline,KSSlide133,R_GDvXuK5kFwnV61m,Kabuki syndrome,Kabuki syndrome,Kabuki syndrome,2,Kabuki syndrome,2,,,2,> 10 years,Community based hospital,I am not sure how much the AI predictions helped.  Just like Face2Gene I wasn't sure I trusted AI that much. Of course this is in vacuum without any clinical information.  In Af Am children AI might be more helpful as I think the typical phenotype can be different than expected and challenging. AI can be helpful in generating ideas but I woud hope we avoid an undue reliance in clinical practice,Yes,,tip of nose in 22q; not sure about AI in AS; eyebrows and long palpebral fissures in KS; downslant in NS: not sure in Williams; not sure in unaffected,1,1,1,0,0
